Fahrenheit,Celsius
93.86767273,34.04103747
44.0379035,7.128336991
14.65918021,-9.840604196
32.57399019,-0.582282228
79.58717741,27.30405485
-18.15650189,-28.59982999
62.24843128,16.98835529
-34.92164021,-37.43209078
54.17450301,13.29193665
-23.05869236,-30.75994757
-97.87560491,-71.79094036
0.497022422,-17.51062834
-87.53464042,-65.85582317
-20.71975246,-28.4181793
-7.311975019,-22.08056054
11.14553198,-11.47050465
12.99776008,-10.23054135
-88.09976995,-66.24457028
-45.5198826,-43.87356468
59.20174294,14.47780433
-1.469101687,-17.65136209
-81.8463841,-64.08294446
-22.96362803,-29.69258124
4.468459558,-14.96797115
68.20730404,19.36023668
-54.15778577,-48.45442248
56.11911344,12.56907107
-88.89489507,-66.55612191
37.38492607,2.21152992
55.08935806,13.21840762
76.63168713,25.56165826
16.42726258,-8.921668437
32.88263203,0.671426986
-28.64406789,-33.54552188
75.78117411,23.40407614
-99.45512319,-73.98867942
-33.17322288,-36.48710949
-69.02175942,-56.96172598
-44.52905761,-42.98364021
-38.07224047,-39.07800702
-22.56728018,-29.68144095
77.73693609,26.26028726
84.34381988,28.64118131
-75.60501561,-60.76751567
49.68580718,9.653481811
-47.82110679,-44.01892012
-64.67975607,-53.69056442
-32.02199835,-36.15726338
95.22217761,34.36907549
-43.39798211,-41.77387922
-94.19268815,-71.06897007
-75.02700222,-59.28522109
31.77762725,-0.821369117
63.21075621,16.45943582
64.59398793,17.54980052
-1.417786411,-19.23343018
-8.094032659,-23.04032064
24.22413247,-3.832145699
-2.158338897,-19.93481283
21.1578636,-5.066889598
-69.47838288,-56.49813519
-14.14121719,-26.36815493
50.5454352,10.62271869
-15.57048068,-27.07169265
67.65481507,18.91660292
-87.2113978,-65.93623223
-6.403537283,-20.65966492
-78.54531662,-61.24228014
98.71433038,37.06373097
-85.4113164,-65.96065641
11.02671218,-11.6051804
-98.87273813,-73.21230316
90.59772465,31.6145299
48.75623594,8.57881998
63.79420851,18.07916121
17.97970252,-7.657158124
-77.05455094,-61.30016586
34.69674569,0.600903254
-67.7878927,-54.88913365
90.01987736,32.34447023
-60.7621406,-51.7098111
-9.138410301,-23.52631282
-52.73885516,-47.41487334
84.12475501,28.59097902
12.73773646,-10.92973109
34.10635739,0.811247513
18.64042261,-6.862159839
49.82209556,10.47262622
-76.67459052,-60.91062056
-44.42081809,-42.47675281
30.39606673,-0.202598556
5.389026449,-14.76358377
-74.04688834,-58.51669262
-66.39454988,-54.068014
78.02065675,25.23853026
-9.965549486,-23.82987995
-75.36483222,-60.14589512
-18.3655769,-27.97458186
-34.22288965,-37.4410542
-41.25499959,-39.84815527
