Fahrenheit,Celsius
83.34816764,27.57650201
56.81206444,14.10825335
-67.18168459,-56.07420657
-88.33594677,-66.7186927
-7.860809274,-21.35627829
-59.42537312,-50.52310907
94.55985277,35.00120425
-87.80464812,-67.45951744
92.86428982,34.05277897
-59.01540028,-50.13604992
23.84524994,-3.993077787
73.66399357,24.11697623
40.50726097,5.412828056
-87.99937499,-66.582731
96.23996861,36.55503509
99.99254006,37.03521274
-68.10794774,-56.50292065
-93.00079377,-70.3247868
56.4803692,12.6656922
-70.76205228,-56.3906232
-62.67548868,-51.67820722
-91.30760904,-67.98331525
-20.73158777,-28.71854006
-17.16543227,-27.19761279
41.3445039,5.637614577
6.222131622,-13.41366542
55.91948109,12.58247834
-70.38985569,-56.61128326
-37.98556865,-38.07467615
-73.75551674,-58.32034251
79.93518852,26.07910462
75.685292,23.63996416
54.17469555,11.45882893
-87.40000703,-65.39973161
28.92887207,-0.876513236
70.60569686,20.91354376
-61.16193527,-52.50314292
47.17129856,8.468280214
17.97188879,-8.126288085
-45.36760248,-42.13948289
-96.02557032,-70.34225908
-74.75633538,-58.70596149
-31.03049493,-35.76070827
53.41150595,11.40087274
-69.56127831,-55.5602772
80.59321801,26.93492814
29.58883981,-1.233312907
5.703359758,-14.63706599
9.576610286,-12.33215472
26.41734506,-3.912582902
-76.42482382,-59.24761763
-72.80736051,-58.98244298
-57.35757023,-49.27372547
-85.09386876,-65.66100893
97.46478634,35.48149382
-57.64332066,-50.65235426
0.63524709,-16.93054318
-62.67696193,-52.99571357
0.700552418,-18.23537381
-78.82371282,-62.14883968
-22.62613304,-30.91484941
-59.30857367,-49.96995504
3.483019757,-16.74627878
29.0412523,-2.450899431
71.15105495,21.79590296
79.29477867,26.7453228
-16.31066256,-27.02026222
-48.07039298,-45.06351956
-66.65168887,-53.89710983
1.887984999,-17.16024067
-30.37635815,-33.86430095
4.180062025,-16.29746837
70.60485307,20.57819946
-76.7019358,-60.97093558
84.78721869,28.34181661
73.09118067,23.4223462
-29.18790701,-34.70270266
7.04517661,-13.44409373
40.17655975,3.768171413
94.90571784,33.98974472
-5.809077839,-21.32703226
59.99045883,15.49714981
-62.5748186,-52.12496455
-5.416806033,-21.45326479
-88.84151946,-67.29747334
84.22824268,28.29536197
79.98303131,25.73280788
42.93347795,5.487608951
27.63601816,-2.995456825
13.22081491,-9.962979569
81.31606047,27.12060776
-91.45770248,-68.64697247
86.55711374,30.0833065
66.2438868,18.78228033
61.30500045,16.68362891
-49.34681403,-45.01634107
95.11477198,34.43069616
-97.98201123,-71.45082219
92.53586791,33.59407289
61.51599762,15.49294086
85.64958201,29.25465006
1.293168133,-17.57328159
10.28305834,-11.99948695
56.6650207,13.6730484
-29.56164876,-35.10726098
88.38860682,31.02971018
51.93398041,10.75187704
-48.75350725,-45.10031066
-68.24136182,-54.90982733
-38.15275224,-38.96681635
40.27668307,3.968124217
-6.580885501,-21.58463711
90.63536462,31.64023914
69.13305879,21.19741318
-90.83304776,-67.27512066
75.50524869,23.91125884
-48.38820861,-43.99022986
13.13902966,-10.81132514
-58.86830506,-50.1373785
-95.50394886,-70.81730283
-25.07554395,-31.14361962
4.902208689,-14.30624104
-7.862156899,-23.03347701
41.92770311,5.864587846
11.77504346,-12.15508106
-98.03253701,-72.34707953
-34.76483045,-37.65738228
-6.72971952,-21.27714047
7.033810174,-12.99607176
72.85126099,23.32735632
-8.708611763,-23.17630892
94.39658624,35.41494786
31.07310071,-1.435455977
75.22545083,24.71893958
61.93735689,16.02811888
59.38166229,14.83885788
-23.05990853,-29.71087936
-19.79231571,-29.43739918
-79.50529518,-61.70139107
36.70132013,2.402084032
67.87449685,20.55926106
-12.43169897,-24.8595866
36.01918519,3.04814308
26.18274845,-3.140891656
12.76467489,-10.29411315
66.91780932,19.20425359
-78.40145368,-60.88933759
-66.50567432,-54.99281481
10.73313243,-11.94432039
38.87072091,4.186582233
80.07177435,25.83151465
93.66467447,33.88303967
-30.55819031,-34.86056134
74.77731159,24.50322661
60.98907331,17.0976528
84.7926196,30.18292605
-96.00350019,-70.96426853
44.20848547,7.428672634
-25.40041046,-31.21774813
3.030882884,-16.71208878
62.03888709,15.70186337
94.71736301,35.81771291
-98.48660756,-73.30957982
-89.10233513,-67.73466587
84.74760485,28.83034126
26.63278004,-3.155642444
